asset_id,asset_name,company,company_cn,phase,indications,targets,mechanism,country,data_quality,data_sources,clinical_trial_id,next_milestone,estimated_timeline,source_url,notes,location,funding,priority,therapeutic_area,generic_name,status,rationale,expected_launch
CN-XD-003,IBI356,信达生物,,Phase 1/2,SLE | IgA肾病,OX40L,N/A,China,0.79,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=IBI356"", ""company"": ""https://www.innoventbio.com""}",,,,,,苏州,上市公司,P1,,,,,
CN-XD-004,IBI362 (玛仕度肽),信达生物,,Approved,肥胖 | 2型糖尿病,GLP-1/GCGR (双靶点),N/A,China,0.9,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=IBI362"", ""company"": ""https://www.innoventbio.com""}",,,,,,苏州,上市公司,P0,,,,,
CN-XD-005,IBI343,信达生物,,Phase 3,胃癌 | 胰腺癌,CLDN18.2 ADC,N/A,China,0.88,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=IBI343"", ""company"": ""https://www.innoventbio.com""}",,,,,,苏州,上市公司,P0,,,,,
CN-XD-006,IBI363,信达生物,,Phase 3,鳞状NSCLC | 黑色素瘤 | 肠癌 | 泛癌,PD-1/IL-2α-bias,N/A,全球,0.9,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=IBI363"", ""company"": ""https://www.innoventbio.com""}",,,,,,苏州,上市公司,P0,,,,,
CN-XD-007,IBI112 (匹康奇拜单抗),信达生物,,Approved,中重度斑块状银屑病,IL-23p19,N/A,China,0.87,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=IBI112"", ""company"": ""https://www.innoventbio.com""}",,,,,,苏州,上市公司,P0,,,,,
CN-XD-008,IBI3002,信达生物,,Phase 1,SLE | IgA肾病,IL-4Rα/TSLP,N/A,China,0.76,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=IBI3002"", ""company"": ""https://www.innoventbio.com""}",,,,,,苏州,上市公司,P2,,,,,
CN-BJ-001,BGB-16673,百济神州,,Phase 2/3,复发/难治性CLL/SLL | 复发/难治性MCL | B细胞恶性肿瘤,BTK PROTAC/CDAC,N/A,全球,0.9,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=BGB-16673"", ""company"": ""https://www.beigene.com.cn""}",,,,,,北京/美国,上市公司,P0,,,,,
CN-BJ-002,BGB-21447 (Sonrotoclax),百济神州,,Phase 3,CLL/SLL | MCL | WM,BCL-2,N/A,全球,0.87,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=BGB-21447"", ""company"": ""https://www.beigene.com.cn""}",,,,,,北京/美国,上市公司,P0,,,,,
CN-BJ-003,BGB-C9074,百济神州,,Phase 1/2,实体瘤,B7H4 ADC,N/A,全球,0.81,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=BGB-C9074"", ""company"": ""https://www.beigene.com.cn""}",,,,,,北京/美国,上市公司,P1,,,,,
CN-BJ-004,BGB-43395,百济神州,,Phase 1,HR+/HER2-乳腺癌 | 晚期实体瘤,CDK4,N/A,全球,0.78,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=BGB-43395"", ""company"": ""https://www.beigene.com.cn""}",,,,,,北京/美国,上市公司,P1,,,,,
CN-JS-001,JS005,君实生物,,Phase 3,中重度斑块状银屑病 | 强直性脊柱炎,IL-17A,N/A,China,0.85,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=JS005"", ""company"": ""https://www.junshibio.com""}",,,,,,上海,上市公司,P1,,,,,
CN-JS-002,JS207,君实生物,,Phase 1,晚期恶性肿瘤,PD-1/VEGF (双抗),N/A,China,0.81,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=JS207"", ""company"": ""https://www.junshibio.com""}",,,,,,上海,上市公司,P1,,,,,
CN-JS-003,JS203,君实生物,,Phase 1/2,复发/难治性B细胞非霍奇金淋巴瘤,CD3/CD20 (双抗),N/A,China,0.79,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=JS203"", ""company"": ""https://www.junshibio.com""}",,,,,,上海,上市公司,P1,,,,,
CN-JS-004,JS401,君实生物/润民医药,,Phase 1,高脂血症 | 高胆固醇血症 | 混合型血脂异常,ANGPTL3 siRNA,N/A,China,0.77,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=JS401"", ""company"": ""https://www.junshibio.com""}",,,,,,上海,上市公司,P1,,,,,
CN-KF-004,AK101 (依若奇单抗),康方生物,,Approved,中重度斑块型银屑病,IL-12/IL-23 p40,N/A,China,0.87,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=AK101"", ""company"": ""https://www.akesobio.com""}",,,,,,中山,上市公司,P0,,,,,
CN-KF-005,AK111 (古莫奇单抗),康方生物,,Approved,中重度斑块型银屑病 | 强直性脊柱炎,IL-17A,N/A,China,0.87,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=AK111"", ""company"": ""https://www.akesobio.com""}",,,,,,中山,上市公司,P0,,,,,
CN-KF-006,AK102 (伊努西单抗/伊喜宁),康方生物,,Approved (2024-10),原发性高胆固醇血症 | 混合型高脂血症 | 杂合子型家族性高胆固醇血症,PCSK9,N/A,China,0.9,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=AK102"", ""company"": ""https://www.akesobio.com""}",,,,,,中山,上市公司,P0,,,,,
CN-KF-007,AK117 (莱法利单抗),康方生物,,Phase 2,实体瘤 | 血液瘤,CD47,N/A,China,0.83,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=AK117"", ""company"": ""https://www.akesobio.com""}",,,,,,中山,上市公司,P1,,,,,
CN-CM-003,CM310 (司普奇拜单抗),康诺亚,,Approved (2024-09),特应性皮炎 | 慢性鼻窦炎伴鼻息肉 | 季节性过敏性鼻炎,IL-4Rα,N/A,China,0.94,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=CM310"", ""company"": ""https://www.keymedbio.com""}",,,,,,成都,上市公司,P0,,,,,
CN-CM-004,CM326,康诺亚,,Phase 2,慢性鼻窦炎伴鼻息肉 | 哮喘 | 特应性皮炎,TSLP,N/A,China,0.85,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=CM326"", ""company"": ""https://www.keymedbio.com""}",,,,,,成都,上市公司,P1,,,,,
CN-CM-005,CMG901,康诺亚/阿斯利康,,Phase 3,晚期/转移性胃癌 | 胃食管结合部腺癌 | 胰腺癌,CLDN18.2 ADC,N/A,全球,0.88,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=CMG901"", ""company"": ""https://www.keymedbio.com""}",,,,,,成都,上市公司,P0,,,,,
CN-CM-006,CM512,康诺亚,,Phase 1,特应性皮炎 | 哮喘,TSLP/IL-13 (双抗),N/A,China,0.76,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=CM512"", ""company"": ""https://www.keymedbio.com""}",,,,,,成都,上市公司,P1,,,,,
CN-RC-001,RC18 (泰它西普/泰爱),荣昌生物,,Approved,系统性红斑狼疮 | 重症肌无力 | IgA肾病 | 类风湿关节炎,BLyS/APRIL (双靶点融合蛋白),N/A,China,0.91,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=RC18"", ""company"": ""https://www.remegen.com""}",,,,,,烟台,上市公司,P0,,,,,
CN-RC-002,RC28,荣昌生物,,Phase 3,湿性年龄相关性黄斑变性(wAMD) | 糖尿病性黄斑水肿(DME) | 糖尿病视网膜病变(DR),VEGF/FGF (双靶点融合蛋白),N/A,China,0.87,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=RC28"", ""company"": ""https://www.remegen.com""}",,,,,,烟台,上市公司,P0,,,,,
CN-RC-003,RC88,荣昌生物,,Phase 2,MSLN阳性实体瘤,MSLN ADC,N/A,China,0.81,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=RC88"", ""company"": ""https://www.remegen.com""}",,,,,,烟台,上市公司,P1,,,,,
CN-RC-004,RC148,荣昌生物,,Phase 2,晚期实体瘤 | 晚期肺癌,PD-1/VEGF (双抗),N/A,China,0.79,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=RC148"", ""company"": ""https://www.remegen.com""}",,,,,,烟台,上市公司,P1,,,,,
CN-ZD-001,ZL-1310,再鼎医药,,Phase 1/2,小细胞肺癌(SCLC) | DLL3+实体瘤,DLL3 ADC,N/A,全球,0.88,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=ZL-1310"", ""company"": ""https://cn.zailaboratory.com""}",,,,,,上海/美国,上市公司,P0,,,,,
CN-ZD-002,ZL-1218,再鼎医药,,Phase 1,晚期实体瘤,CCR8,N/A,全球,0.81,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=ZL-1218"", ""company"": ""https://cn.zailaboratory.com""}",,,,,,上海/美国,上市公司,P1,,,,,
CN-FX-001,汉贝泰 (贝伐珠单抗生物类似药),复星医药/复宏汉霖,,Approved,转移性结直肠癌 | 非小细胞肺癌 | 复发性胶质母细胞瘤 | 宫颈癌 | 卵巢癌,VEGF,N/A,China,0.89,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=HLX04"", ""company"": ""https://www.fosunpharma.com""}",,,,,,上海,上市公司,P1,,,,,
CN-SY-001,SYS6010,石药集团/巨石生物,,Phase 3,EGFR-TKI和含铂化疗治疗失败的EGFR突变NSCLC | 晚期实体瘤,EGFR ADC,N/A,China,0.88,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=SYS6010"", ""company"": ""https://www.e-cspc.com""}",,,,,,石家庄,上市公司,P0,,,,,
ABBV-001,Skyrizi,AbbVie,,已批准(中国NMPA 2026-01),溃疡性结肠炎(UC) - 中国扩展,N/A,IL-23 p19抑制剂,N/A,0.0,N/A,,,,,,,,High,Immunology,risankizumab,Approved,全球首个获批用于UC的IL-23抑制剂，中国第二适应症,2026 Q1 China
ABBV-002,Skyrizi,AbbVie,,Phase 3 AFFIRM研究阳性,克罗恩病(CD)皮下诱导治疗,N/A,IL-23 p19抑制剂,N/A,0.0,N/A,,,,,,,,High,Immunology,risankizumab,Phase 3 Complete,皮下注射剂型提供更方便的给药途径,2026
ABBV-003,Skyrizi,AbbVie,,Approved,银屑病关节炎(PsA)扩展适应症,N/A,IL-23 p19抑制剂,N/A,0.0,N/A,,,,,,,,Medium,Immunology,risankizumab,Approved,扩展至更多免疫适应症,已上市
ABBV-004,Rinvoq,AbbVie,,已批准(欧盟 2025-04),巨细胞动脉炎(GCA),N/A,JAK1选择性抑制剂,N/A,0.0,N/A,,,,,,,,High,Immunology,upadacitinib,Approved EU,欧盟首个获批用于GCA的口服JAK抑制剂,2025 Q2 EU
ABBV-005,Rinvoq,AbbVie,,已批准(美国 2024-04),儿童多关节型幼年特发性关节炎(pJIA),N/A,JAK1选择性抑制剂,N/A,0.0,N/A,,,,,,,,High,Immunology,upadacitinib,Approved US,扩展至2岁及以上儿童患者,已上市
ABBV-006,Rinvoq,AbbVie,,Phase 3 UP-AA研究阳性,重度斑秃(Alopecia Areata),N/A,JAK1选择性抑制剂,N/A,0.0,N/A,,,,,,,,High,Dermatology,upadacitinib,Phase 3 Complete,首个JAK抑制剂在斑秃中显示阳性结果,2026
ABBV-007,Rinvoq,AbbVie,,Phase 3阳性结果,白癜风(Vitiligo),N/A,JAK1选择性抑制剂,N/A,0.0,N/A,,,,,,,,Medium,Dermatology,upadacitinib,Phase 3 Complete,首个达到白癜风III期终点的JAK抑制剂,2026
ABBV-008,Rinvoq,AbbVie,,Phase 3进行中,化脓性汗腺炎(Hidradenitis Suppurativa),N/A,JAK1选择性抑制剂,N/A,0.0,N/A,,,,,,,,Medium,Dermatology,upadacitinib,Phase 3,扩展至更多炎症性皮肤病,2027
JNJ-001,Tremfya,Johnson & Johnson,,已批准(美国 2025-09),溃疡性结肠炎(UC)皮下诱导,N/A,IL-23 p19抑制剂(双重作用机制),N/A,0.0,N/A,,,,,,,,High,Immunology,guselkumab,Approved US,首个也是唯一具有完全皮下诱导方案的IL-23抑制剂,2025 Q3 US
JNJ-002,Tremfya,Johnson & Johnson,,已批准(美国 2025-03),克罗恩病(CD),N/A,IL-23 p19抑制剂,N/A,0.0,N/A,,,,,,,,High,Immunology,guselkumab,Approved US,GALAXI研究显示优于Stelara,已上市
JNJ-003,Tremfya,Johnson & Johnson,,已批准(美国 2025-09),儿童斑块状银屑病(6岁及以上),N/A,IL-23 p19抑制剂,N/A,0.0,N/A,,,,,,,,High,Immunology,guselkumab,Approved US,首个也是唯一获批用于儿科适应症的IL-23抑制剂,已上市
JNJ-004,Tremfya,Johnson & Johnson,,已批准(美国 2025-09),儿童银屑病关节炎,N/A,IL-23 p19抑制剂,N/A,0.0,N/A,,,,,,,,Medium,Immunology,guselkumab,Approved US,儿科适应症扩展,已上市
JNJ-005,Stelara,Johnson & Johnson,,已批准(欧盟 2025-04),儿童克罗恩病(≥40kg),N/A,IL-12/23抑制剂,N/A,0.0,N/A,,,,,,,,High,Immunology,ustekinumab,Approved EU,扩展至儿科CD患者,2025 Q2 EU
JNJ-006,Stelara,Johnson & Johnson,,sBLA已提交(FDA),儿童溃疡性结肠炎(≥2岁),N/A,IL-12/23抑制剂,N/A,0.0,N/A,,,,,,,,High,Immunology,ustekinumab,Registration,UNIFI Jr研究支持儿科UC适应症,2026
JNJ-007,Nipocalimab,Johnson & Johnson,,已批准(美国 2025-04),全身型重症肌无力(gMG),N/A,FcRn(新生儿Fc受体)阻断剂,N/A,0.0,N/A,,,,,,,,High,Neurology,nipocalimab-aahu,Approved US,首个FcRn阻断剂显示广泛患者群体持续疾病控制,已上市
JNJ-008,Nipocalimab,Johnson & Johnson,,Phase 3,温抗体型自身免疫性溶血性贫血(wAIHA),N/A,FcRn阻断剂,N/A,0.0,N/A,,,,,,,,High,Hematology,nipocalimab-aahu,Phase 3,罕见血液病，FDA快速通道资格,2026-2027
ROCHE-001,Gazyva,Roche,,已批准(美国/欧盟 2025),狼疮性肾炎(Lupus Nephritis),N/A,抗CD20单抗(II型),N/A,0.0,N/A,,,,,,,,High,Immunology,obinutuzumab,Approved,唯一在III期研究中显示完全肾脏缓解获益的抗CD20单抗,已上市
ROCHE-002,Gazyva,Roche,,Phase 3 MAJESTY研究阳性,膜性肾病(Membranous Nephropathy),N/A,抗CD20单抗,N/A,0.0,N/A,,,,,,,,High,Immunology,obinutuzumab,Phase 3 Complete,第四个III期阳性研究，扩大肾脏病领域应用,2026
ROCHE-003,Gazyva,Roche,,Phase 3 POSTERITY研究,儿童狼疮性肾炎,N/A,抗CD20单抗,N/A,0.0,N/A,,,,,,,,Medium,Immunology,obinutuzumab,Phase 3,扩展至儿童患者,2027
ROCHE-004,Gazyva,Roche,,Phase 3 ALLEGORY研究,系统性红斑狼疮(SLE),N/A,抗CD20单抗,N/A,0.0,N/A,,,,,,,,Medium,Immunology,obinutuzumab,Phase 3,扩展至全身性SLE,2027
ROCHE-005,Venclexta,Roche,,Phase 3 CANOVA研究,复发/难治性多发性骨髓瘤(t11;14阳性),N/A,Bcl-2选择性抑制剂,N/A,0.0,N/A,,,,,,,,High,Oncology,venetoclax,Phase 3,与泊马度胺+地塞米松联用,2026
ROCHE-006,Venclexta,Roche,,Phase 3 VERONA研究完成,高危骨髓增生异常综合征(MDS),N/A,Bcl-2选择性抑制剂,N/A,0.0,N/A,,,,,,,,High,Oncology,venetoclax,Phase 3 Complete,联合阿扎胞苷用于初治高危MDS,2026
NVS-001,Cosentyx,Novartis,,Phase 3,巨细胞动脉炎(GCA),N/A,IL-17A抑制剂,N/A,0.0,N/A,,,,,,,,High,Immunology,secukinumab,Phase 3,可能成为首个获批的GCA生物制剂,2026-2027
NVS-002,Cosentyx,Novartis,,Phase 3,风湿性多肌痛(PMR),N/A,IL-17A抑制剂,N/A,0.0,N/A,,,,,,,,High,Immunology,secukinumab,Phase 3,可能成为首个免激素生物制剂,2026-2027
NVS-003,Cosentyx,Novartis,,已批准(美国 2026-03),儿童化脓性汗腺炎(≥12岁),N/A,IL-17A抑制剂,N/A,0.0,N/A,,,,,,,,Medium,Immunology,secukinumab,Approved US,儿科适应症扩展,已上市
NVS-004,Ilaris,Novartis,,sBLA审评中,非小细胞肺癌辅助治疗,N/A,IL-1β抑制剂,N/A,0.0,N/A,,,,,,,,High,Oncology,canakinumab,Registration,扩展至肿瘤辅助治疗领域,2026
NVS-005,Xolair,Novartis,,已批准(美国 2024-02),食物过敏(≥1岁),N/A,抗IgE单抗,N/A,0.0,N/A,,,,,,,,High,Immunology,omalizumab,Approved US,首个获批用于食物过敏的药物,已上市
LLY-001,Taltz,Eli Lilly,,Phase 3b TOGETHER-PsO研究阳性,银屑病关节炎合并肥胖/超重,N/A,IL-17A抑制剂,N/A,0.0,N/A,,,,,,,,High,Immunology,ixekizumab,Phase 3 Complete,与Zepbound(tirzepatide)联用显示优于单药,2026
LLY-002,Olumiant,Eli Lilly,,Phase 3 BRAVE-AA-PEDS研究完成,儿童重度斑秃(6-18岁),N/A,JAK1/2抑制剂,N/A,0.0,N/A,,,,,,,,High,Dermatology,baricitinib,Phase 3 Complete,71%患者一年实现头皮毛发再生,2026
LLY-003,Omvoh,Eli Lilly,,已批准(美国 2025-01),克罗恩病(CD),N/A,IL-23 p19抑制剂,N/A,0.0,N/A,,,,,,,,High,Immunology,mirikizumab-mrkz,Approved US,首个也是唯一获批用于IBD的IL-23 p19拮抗剂显示4年持续疗效,已上市
LLY-004,Omvoh,Eli Lilly,,已批准(中国NMPA 2026-02),溃疡性结肠炎(UC) - 中国,N/A,IL-23 p19抑制剂,N/A,0.0,N/A,,,,,,,,High,Immunology,mirikizumab-mrkz,Approved China,中国双适应症获批(UC+CD),2026 Q1 China
PFE-001,Litfulo,Pfizer,,Phase 2,溃疡性结肠炎,N/A,JAK3/TEC抑制剂,N/A,0.0,N/A,,,,,,,,Medium,Immunology,ritlecitinib,Phase 2,扩展至IBD领域,2027+
PFE-002,Dazukibart,Pfizer,,Phase 3,皮肌炎/多发性肌炎,N/A,抗IFN-β单抗,N/A,0.0,N/A,,,,,,,,High,Immunology,PF-06823859,Phase 3,孤儿药认定，快速通道资格,2026-2027
BMS-001,Sotyktu,Bristol Myers Squibb,,已批准(美国 2025-09),银屑病关节炎,N/A,选择性TYK2抑制剂,N/A,0.0,N/A,,,,,,,,High,Immunology,deucravacitinib,Approved US,首个口服TYK2抑制剂获批用于PsA,已上市
UCB-001,Bimzelx,UCB,,已批准(美国 2024-09),银屑病关节炎(PsA),N/A,IL-17A/IL-17F双重抑制剂,N/A,0.0,N/A,,,,,,,,High,Immunology,bimekizumab-bkzx,Approved US,首个也是唯一获批用于PsA的IL-17A/F双重抑制剂,已上市
UCB-002,Bimzelx,UCB,,已批准(美国 2024-09),非放射学中轴型脊柱关节炎(nr-axSpA),N/A,IL-17A/IL-17F双重抑制剂,N/A,0.0,N/A,,,,,,,,High,Immunology,bimekizumab-bkzx,Approved US,覆盖中轴型脊柱关节炎全谱系,已上市
WAVE2-TL1A-009,Afimkibart (RO7790121),Roche/Genentech,,Phase 2/3,UC | CD,TL1A,Dual anti-inflammatory and anti-fibrotic effects by blocking TL1A/DR3 signaling,Europe,0.9,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=Afimkibart"", ""company"": ""https://www.roche.com"", ""news"": ""https://www.genentech-medinfo.com/conferences/ibd.html""}",NCT05995211,,,,,"Basel, Switzerland",,P0,,,,,
WAVE2-TL1A-010,RO7837195 (p40 x TL1A bispecific),Roche/Genentech,,Phase 1,UC,TL1A/p40,Dual blockade of IL-12/IL-23 pathway and TL1A signaling,Europe,0.81,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=RO7837195"", ""company"": ""https://www.roche.com""}",NCT05995211,,,,,"Basel, Switzerland",,P1,,,,,
WAVE2-IL23-015,Mirikizumab (Omvoh),Eli Lilly,,Phase 3/Approved,UC | CD,IL-23 p19,Selective inhibition of IL-23 pathway,United States,0.96,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=mirikizumab"", ""company"": ""https://www.lilly.com"", ""fda_url"": ""https://www.fda.gov/news-events/press-announcements/fda-approves-lillys-omvoh-mirikizumab-mrkz-crohns-disease""}",NCT03524092,,,,,"Indianapolis, IN",,P0,,,,,
WAVE2-IL23-016,Brazikumab,Boehringer Ingelheim,,Phase 2/3,CD | UC,IL-23 p19,Selective IL-23 pathway inhibition,Europe,0.84,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=brazikumab"", ""company"": ""https://www.boehringer-ingelheim.com""}",NCT05189358,,,,,"Ingelheim, Germany",,P1,,,,,
WAVE2-FCRN-001,Efgartigimod (Vyvgart),ArgenX,,Phase 3/Approved,gMG | CIDP,FcRn,Accelerates IgG catabolism by blocking FcRn-IgG interaction,Europe,0.96,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=efgartigimod"", ""company"": ""https://www.argenx.com"", ""fda_url"": ""https://www.fda.gov/news-events/press-announcements/fda-approves-vyvgart-generalized-myasthenia-gravis""}",NCT04265581,,,,,"Breda, Netherlands",,P0,,,,,
WAVE2-FCRN-002,Nipocalimab (IMAAVY),Johnson & Johnson (Janssen),,Phase 3/Approved,gMG | Sjogren's Disease,FcRn,Blocks FcRn to reduce circulating IgG autoantibodies,United States,0.96,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=nipocalimab"", ""company"": ""https://www.janssen.com"", ""news"": ""https://www.prnewswire.com/news-releases/fda-approves-nipocalimab""}",NCT04951622,,,,,"New Brunswick, NJ",,P0,,,,,
WAVE2-FCRN-003,Rozanolixizumab (Rystiggo),UCB,,Phase 3/Approved,gMG,FcRn,Blocks FcRn to accelerate IgG degradation,Europe,0.93,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=rozanolixizumab"", ""company"": ""https://www.ucb.com""}",NCT04119531,,,,,"Brussels, Belgium",,P0,,,,,
WAVE2-FCRN-004,Batoclimab,Immunovant,,Phase 3,Graves Disease | gMG,FcRn,Blocks FcRn to reduce pathogenic IgG antibodies,United States,0.87,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=batoclimab"", ""company"": ""https://www.immunovant.com""}",NCT04101557,,,,,"New York, NY",,P1,,,,,
WAVE2-FCRN-005,IMVT-1402,Immunovant,,Phase 2,Graves Disease | RA,FcRn,Improved FcRn blockade with extended duration,United States,0.81,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=IMVT-1402"", ""company"": ""https://www.immunovant.com""}",NCT05451303,,,,,"New York, NY",,P1,,,,,
WAVE2-C5A-001,Avacopan (Tavneos),Amgen (formerly ChemoCentryx),,Phase 3/Approved,ANCA-associated vasculitis,C5aR,Blocks C5a-mediated neutrophil activation and chemotaxis,United States,0.95,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=avacopan"", ""company"": ""https://www.amgen.com"", ""fda_url"": ""https://www.fda.gov/drugs/news-events-human-drugs/fda-approves-tavneos-anca-associated-vasculitis""}",NCT02994927,,,,,"Thousand Oaks, CA",,P0,,,,,
WAVE2-C5A-002,IFX-1 (Vilobelimab),InflaRx,,Phase 2,AAV | HS,C5a,Neutralizes C5a anaphylatoxin,Europe,0.82,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=IFX-1"", ""company"": ""https://www.inflarx.com""}",NCT03712345,,,,,"Jena, Germany",,P1,,,,,
WAVE2-C5A-003,INF904,InflaRx,,Preclinical,Autoimmune diseases,C5aR,Small molecule C5a receptor inhibition,Europe,0.75,"{""company"": ""https://www.inflarx.com""}",,,,,,"Jena, Germany",,P2,,,,,
WAVE2-BAFF-001,Telitacicept (泰它西普),RemeGen (荣昌生物),,Phase 3/Approved (CN),SLE | RA | gMG,BAFF/APRIL,Dual inhibition of BAFF and APRIL,China,0.92,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=telitacicept"", ""company"": ""https://www.remegen.cn"", ""news"": ""https://www.remegen.com/news/telitacicept-sle-approved""}",NCT05306574,,,,,"Yantai, China",,P0,,,,,
WAVE2-BAFF-002,Atacicept,Vera Therapeutics,,Phase 3,IgAN | SLE | LN,BAFF/APRIL,Dual BAFF/APRIL inhibition,United States,0.89,"{""clinicaltrials"": ""https://clinicaltrials.gov/search?term=atacicept"", ""company"": ""https://www.veratx.com""}",NCT04716231,,,,,"San Francisco, CA",,P0,,,,,
